,Unnamed: 0,sklearn_accuracy_1,sklearn_f1_score_1,sklearn_precision_1,sklearn_recall_1,sklearn_time_1,sklearn_e_accuracy_1,sklearn_e_f1_score_1,sklearn_e_precision_1,sklearn_e_recall_1,sklearn_e_time_1,sklearn_m_accuracy_1,sklearn_m_f1_score_1,sklearn_m_precision_1,sklearn_m_recall_1,sklearn_m_time_1,sklearn_v_accuracy_1,sklearn_v_f1_score_1,sklearn_v_precision_1,sklearn_v_recall_1,sklearn_v_time_1,autoweka_accuracy_1,autoweka_f1_score_1,autoweka_precision_1,autoweka_recall_1,autoweka_time_1,tpot_accuracy_1,tpot_f1_score_1,tpot_precision_1,tpot_recall_1,tpot_time_1
0,AP_Breast_Lung,0.9745762711864406,0.9744617599995208,0.9745188676395056,0.9745762711864406,3597.3170158863068,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,3599.2496089935303,0.9745762711864406,0.9744617599995208,0.9745188676395056,0.9745762711864406,3598.0908555984497,0.9745762711864406,0.9744617599995208,0.9745188676395056,0.9745762711864406,3597.5602588653564,0.0,0.0,0.0,0.0,3960.0,,,,,3708.2845752239227
1,AP_Omentum_Ovary,0.7971014492753623,0.7793956795187312,0.7904907195525045,0.7971014492753623,3597.079437494278,0.8840579710144928,0.8771722735917109,0.8889139845661584,0.8840579710144928,3596.3689641952515,0.7971014492753623,0.7793956795187312,0.7904907195525045,0.7971014492753623,3598.5884413719177,0.7681159420289855,0.7201783723522854,0.7826086956521741,0.7681159420289855,3608.632869720459,0.0,0.0,0.0,0.0,3960.0,0.8260869565217391,0.8051529790660226,0.8386145910095799,0.8260869565217391,3677.694701910019
2,AP_Prostate_Ovary,1.0,1.0,1.0,1.0,3597.515246868133,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,3598.751605510712,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,3597.7803208827972,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,3598.2614483833313,0.9701492537313432,0.9701492537313432,0.9701492537313432,0.9701492537313432,3096.0,0.9850746268656716,0.9848445844173628,0.9853459972862958,0.9850746268656716,3650.5765283107758
3,AirlinesCodrnaAdult,,,,,3641.704274892807,0.8102623347870341,0.8109315755580238,0.8161222413136755,0.8102623347870341,3610.904018163681,0.7868780600153047,0.7870621017252353,0.7873383340652366,0.7868780600153047,3622.517522096634,0.7868780600153047,0.7870621017252353,0.7873383340652366,0.7868780600153047,3604.103285551071,0.6548302736275899,0.6497946434135937,0.6971944887157948,0.6548302736275899,3529.0,,,,,6939.54917049408
4,Amazon,0.6613333333333333,0.6600763009947881,0.7770366892366892,0.6613333333333333,3599.2263629436493,0.8053333333333333,0.8017957215219134,0.8341355459355458,0.8053333333333333,3599.906754016876,0.696,0.6868874531224995,0.7199139897139897,0.696,3597.9978182315826,0.7813333333333333,0.7764237744367775,0.8188946016946017,0.7813333333333333,3597.968391418457,0.5173333333333333,0.5170484657642553,0.5522736781736782,0.5173333333333333,3571.0,,,,,3764.970993041992
5,CovPokElec,0.6160458610208804,0.5962613957717421,0.6056064619830448,0.6160458610208804,3597.554137468338,0.58408220247223,0.5648735794647611,0.5553571947565535,0.58408220247223,3596.2912855148315,0.5121742762763754,0.5079904731434257,0.5353565488238397,0.5121742762763754,3596.6491374969482,0.5899742224127602,0.577182042762966,0.5912132167310661,0.5899742224127602,3960.001226425171,0.0,0.0,0.0,0.0,3960.0,,,,,3757.472814083099
6,GCM,0.75,0.7401455026455027,0.796875,0.75,3598.060311794281,0.7916666666666666,0.7709956709956709,0.8315972222222222,0.7916666666666666,3600.070657968521,,,,,,0.7083333333333334,0.6899305555555556,0.7460317460317462,0.7083333333333334,3597.711952209473,0.0,0.0,0.0,0.0,3960.0,,,,,3792.097674846649
7,KDDCup99,0.9997489980162746,0.999720746674652,0.9997280966274076,0.9997489980162746,3595.0223472118378,0.9996680296344278,0.9996329306849624,0.9996155895738821,0.9996680296344278,3594.846893787384,0.99974090117809,0.9997194354712344,0.999726302304422,0.99974090117809,3595.282466173172,0.9996194486053196,0.9995806231348708,0.9995639656320708,0.9996194486053196,3595.263286113739,0.9993036719161168,0.9992358316290284,0.9992526964509924,0.9993036719161168,3273.0,,,,,3730.872764825821
8,MagicTelescope,0.8824395373291273,0.880390772339453,0.8823530541027697,0.8824395373291273,3596.7618477344513,0.8828601472134595,0.8809516215173978,0.8826036272477766,0.8828601472134595,3595.8146171569824,0.8782334384858044,0.8756828001408454,0.8786430264489163,0.8782334384858044,3596.108562707901,0.8715036803364878,0.8687862865299631,0.8716140199737189,0.8715036803364878,3597.030897378921,0.8332281808622503,0.8288345947743826,0.8320568493900877,0.8332281808622503,3147.0,0.8809674027339642,0.8790614487386785,0.880597472989455,0.8809674027339642,3618.230637311936
9,aaaData_for_UCI_named,1.0,1.0,1.0,1.0,3595.5452134609222,1.0,1.0,1.0,1.0,3596.965123653412,1.0,1.0,1.0,1.0,3596.246505022049,1.0,1.0,1.0,1.0,3597.111077547073,1.0,1.0,1.0,1.0,3060.0,1.0,1.0,1.0,1.0,3604.297778367996
