dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
AP_Breast_Lung,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
AP_Omentum_Ovary,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
AP_Prostate_Ovary,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,0.0,"best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]","best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]","best classifier: weka.classifiers.meta.Vote
arguments: [-R, MAX, -S, 1, -B, weka.classifiers.trees.LMT -M 2 -W 0.23885826206068084 -A]",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,530.0,533.0,531.0
AirlinesCodrnaAdult,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
Amazon,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
CovPokElec,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
GCM,0.0,,,0.0,0.0,Timeout,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,660.0,,
KDDCup99,0.0,0.0,0.0,0.0,0.0,Timeout,Timeout,Timeout,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,660.0
MagicTelescope,0.8332281808622503,,,0.8332281808622503,0.0,,,,0.8288345947743826,,,0.8288345947743826,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 10, -K, 0, -depth, 0]",,,0.8320568493900877,,,0.8320568493900877,0.0,0.8332281808622503,,,0.8332281808622503,0.0,529.0,,
aaaData_for_UCI_named,1.0,,,1.0,0.0,,,,1.0,,,1.0,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 7, -K, 4, -depth, 5]",,,1.0,,,1.0,0.0,1.0,,,1.0,0.0,566.0,,
analcatdata_authorship,0.9952606635071092,,,0.9952606635071092,0.0,,,,0.9952581533761158,,,0.9952581533761158,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0767011353880596]",,,0.9953184602936076,,,0.9953184602936076,0.0,0.995260663507109,,,0.995260663507109,0.0,512.0,,
arrhythmia,0.8053097345132744,,,0.8053097345132744,0.0,,,,0.8028992836072482,,,0.8028992836072482,0.0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-D, -Q, weka.classifiers.bayes.net.search.local.TAN]",,,0.8194060652698589,,,0.8194060652698589,0.0,0.8053097345132744,,,0.8053097345132744,0.0,514.0,,
audiology,0.9298245614035088,,,0.9298245614035088,0.0,,,,0.9264440170192924,,,0.9264440170192924,0.0,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.03189171239023452]",,,0.9360623781676412,,,0.9360623781676412,0.0,0.9298245614035088,,,0.9298245614035088,0.0,511.0,,
